LOCATION,TIME,UE,CPI,c_ue,c_cpi
DEU,2003-01-01,9.808333,83.54305,12.95585462402513,1.0342266646849048
DEU,2004-01-01,10.5,84.93465,7.051830316119985,1.665728028842628
DEU,2005-01-01,11.28333,86.24851,7.460285714285709,1.5469069455163365
DEU,2006-01-01,10.275,87.60902,-8.936457588318335,1.577430149228091
DEU,2007-01-01,8.541667,89.62257,-16.86942092457421,2.2983364041739023
DEU,2008-01-01,7.425,91.9782,-13.073174123973699,2.6283892550726957
DEU,2009-01-01,7.641667,92.26585,2.9180740740740765,0.31273714858520746
DEU,2010-01-01,6.966667,93.28429,-8.833151195936697,1.1038103480323416
DEU,2011-01-01,5.833333,95.2201,-16.267951374739177,2.07517257193039
DEU,2012-01-01,5.383333,97.13258,-7.714286155102054,2.008483502957886
DEU,2013-01-01,5.241667,98.59416,-2.6315667264128138,1.5047268383069798
DEU,2014-01-01,4.991667,99.48821,-4.769475054405402,0.906798130842631
DEU,2015-01-01,4.633333,100.0,-7.178643927970342,0.5144227642652379
DEU,2016-01-01,4.133333,100.4917,-10.791367682832206,0.4916999999999945
DEU,2017-01-01,3.758333,102.0087,-9.072581376821088,1.5095774078854376
DEU,2018-01-01,3.4,103.7756,-9.534360047393353,1.7321071634086038
DEU,2019-01-01,3.15,105.2759,-7.352941176470589,1.4457155631959688
DEU,2020-01-01,4.183333,105.8093,32.80422222222223,0.5066686677577683
DNK,1984-01-01,7.916667,48.62533,-5.378485841494579,6.290775487863155
DNK,1985-01-01,6.658333,50.90039,-15.894744593905497,4.67875487940134
DNK,1986-01-01,4.991667,52.7726,-25.031280352004025,3.6781839981972544
DNK,1987-01-01,5.033333,54.89405,0.8347111295685431,4.019983855258227
DNK,1988-01-01,5.658333,57.38357,12.417219365378767,4.535136321696065
DNK,1989-01-01,6.816667,60.12233,20.471294284023227,4.77272501519163
DNK,1990-01-01,7.175,61.71053,5.256718569353615,2.641614188937788
DNK,1991-01-01,7.85,63.18859,9.407665505226479,2.395150390054986
DNK,1992-01-01,8.6,64.51305,9.554140127388536,2.0960429723151113
DNK,1993-01-01,9.55,65.32453,11.046511627906991,1.2578540310836162
DNK,1994-01-01,7.7,66.6258,-19.371727748691104,1.9920082088612079
DNK,1995-01-01,6.716667,68.01402,-12.770558441558443,2.083607251245019
DNK,1996-01-01,6.333333,69.46021,-5.707205672098982,2.1263116045779995
DNK,1997-01-01,5.241667,70.97594,-17.23683248614908,2.1821557982620416
